lemma,frame_id,count
debes,learned_verb_target_inf,20
chicas,learned_noun_las_target_verb,19
cualquiera,learned_function_target_verb_inf,18
hago,learned_verb_target_la_noun,17
haz,learned_noun_target_la_noun,17
haría,learned_verb_target_la_noun,16
ambos,learned_function_target_verb_adj,14
llamo,learned_verb_target_a_la_noun,14
agente,learned_noun_el_target_es_adj,12
según,learned_function_target_el_noun,12
ok,learned_adjective_es_un_noun_target,11
podrían,learned_verb_target_inf_noun,11
bastante,learned_adverb_es_target_adj,10
cuándo,learned_adverb_target_verb,10
ésta,learned_function_target_es_adj,10
último,learned_adjective_es_el_target_noun_de_la_noun,10
demás,learned_function_otros_noun_target_verb,9
dicen,learned_verb_target_que_es_adj,9
pronto,learned_adverb_verb_target,9
éste,learned_function_target_es_adj,9
buena,learned_adjective_es_una_target_noun,8
creí,learned_verb_target_que_verb_adj,8
hubo,learned_verb_target_una_noun,8
nacional,learned_adjective_el_noun_es_target,8
pruebas,learned_noun_target_prep_phrase,8
público,learned_adjective_el_noun_es_target,8
señora,learned_noun_la_target_verb_noun,8
dan,learned_verb_target_noun_a_los_noun,7
hará,learned_verb_target_la_noun,7
según,learned_function_target_la_noun,7
amo,learned_noun_el_target_verb_noun,6
creí,learned_verb_target_que_me_verb,6
datos,learned_noun_los_target_verb_adj,6
debemos,learned_verb_target_inf_noun,6
decía,learned_verb_target_la_noun,6
dónde,learned_adverb_target_verb,6
hombres,learned_noun_los_target_verb,6
hubo,learned_verb_target_noun,6
necesitas,learned_verb_target_inf_noun,6
negro,learned_adjective_el_noun_es_target,6
partes,learned_noun_las_target_de_los_noun,6
posición,learned_noun_la_target_prep_phrase_es_adj,6
probablemente,learned_adverb_target_verb_noun,6
total,learned_adjective_es_un_target_noun,6
través,learned_noun_el_noun_verb_a_target,6
última,learned_adjective_es_la_target_noun_prep_phrase,6
durante,learned_function_verb_target_noun,5
existe,learned_verb_target_una_noun,5
hará,learned_verb_noun_target_noun,5
lleva,learned_verb_target_noun_prep_phrase,5
lleva,learned_verb_target_un_noun_prep_phrase,5
nacional,learned_adjective_la_noun_es_target,5
partes,learned_noun_las_target_de_la_noun,5
pase,learned_verb_target_el_noun,5
pequeña,learned_adjective_la_noun_es_target,5
próximo,learned_adjective_el_target_noun_es_adj,5
supuesto,learned_noun_es_el_target_noun_prep_phrase,5
unidos,learned_adjective_target_por_la_noun,5
último,learned_adjective_es_el_target_noun_prep_phrase,5
única,learned_adjective_ella_es_la_target_noun,5
adónde,learned_adverb_target_verb_a_inf,4
anoche,learned_adverb_target_verb_noun,4
control,learned_noun_el_target_prep_phrase,4
debemos,learned_verb_target_inf_adj,4
deben,learned_verb_target_inf_noun,4
estados,learned_noun_los_target_tienen_noun_adj,4
hicieron,learned_verb_ellos_target_la_noun,4
hubo,learned_verb_target_un_noun,4
jóvenes,learned_adjective_las_target_verb_noun,4
jóvenes,learned_adjective_los_target_verb_adj,4
mujeres,learned_noun_target_verb_noun,4
nacional,learned_adjective_es_un_noun_target,4
pase,learned_verb_target_la_noun,4
poco,learned_adverb_target_noun_verb,4
próximo,learned_adjective_el_target_noun_es_noun,4
supone,learned_verb_inf_target_noun,4
supone,learned_verb_target_un_noun,4
trabajando,learned_verb_target_prep_phrase,4
éste,learned_function_verb_target,4
últimos,learned_adjective_verb_los_target_noun_prep_phrase,4
además,learned_adverb_target_me_verb_inf,3
anoche,learned_adverb_target_verb_prep_phrase,3
ayer,learned_adverb_target_verb_prep_phrase,3
baja,learned_adjective_la_target_en_la_noun_es_adj,3
baja,learned_adjective_la_target_en_la_noun_prep_phrase,3
buena,learned_adjective_esa_es_una_target_noun,3
cambiar,learned_verb_verb_target_prep_phrase,3
chicos,learned_noun_los_target_verb_noun,3
dan,learned_verb_target_noun_en_la_noun,3
datos,learned_noun_verb_los_target_adv,3
decía,learned_verb_target_el_noun,3
diciendo,learned_verb_el_noun_verb_target_que_es_adj,3
durante,learned_function_verb_target_el_noun,3
dónde,learned_adverb_target_noun,3
encanta,learned_verb_nos_target_inf_noun,3
existe,learned_verb_no_target_la_noun,3
hará,learned_verb_noun_target_adv,3
hicieron,learned_verb_target_la_noun,3
hombres,learned_noun_target_verb_noun,3
