lemma,rank,pos,family,rank_block,translation,canonical_lemma,source_method,template_id,quality_tier,failure_reason,policy_exclusion_reason
escribiendo,4002,v,v,4001_5000,to write,escribir,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
volvemos,4003,v,v,4001_5000,to return; to revert; to get back,volver,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
órganos,4005,n,n,4001_5000,organ,órgano,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
escondido,4008,adj,adj,4001_5000,hidden,escondido,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
listas,4011,n,n,4001_5000,list; roll,lista,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
normales,4019,adj,adj,4001_5000,rule; norm; standard; touchstone,normal,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
mírate,4020,v,v,4001_5000,target,mírate,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
esencial,4024,adj,adj,4001_5000,essential,esencial,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
ud,4027,n,n,4001_5000,oud [from late-19th c.],ud,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
gafas,4042,n,n,4001_5000,eyeglasses,gafas,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
ayudarla,4043,v,v,4001_5000,to help,ayudarla,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
tenerlo,4049,v,v,4001_5000,to have,tenerlo,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
contactos,4050,n,n,4001_5000,contact,contacto,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
guitarra,4056,n,n,4001_5000,guitar,guitarra,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
web,4064,,residual,4001_5000,web,web,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
oyó,4067,v,v,4001_5000,to hear,oyó,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
económicas,4068,adj,adj,4001_5000,economic,económico,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
decimos,4071,v,v,4001_5000,to say; to tell,decir,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
socialistas,4080,adj,adj,4001_5000,socialist,socialista,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
actuando,4082,v,v,4001_5000,to act; to behave,actuar,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
pinta,4088,v,v,4001_5000,look; appearance,pintar,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
cortes,4092,prop,prop,4001_5000,any of several legislative assemblies of Spain and Portugal,cortes,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
suyos,4098,pron,pron,4001_5000,theirs; their; to them,suyo,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
valencia,4101,,residual,4001_5000,valency; valence,valencia,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
tina,4105,,residual,4001_5000,vat,tina,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
acuerdos,4110,n,n,4001_5000,agreement,acuerdo,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
posterior,4111,adj,adj,4001_5000,posterior; later,posterior,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
bebidas,4114,n,n,4001_5000,drink; beverage,bebida,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
almas,4117,n,n,4001_5000,soul,alma,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
sabíamos,4118,v,v,4001_5000,to know; to understand,saber,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
comunicaciones,4119,n,n,4001_5000,communication,comunicación,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
exteriores,4121,adj,adj,4001_5000,external; outer,exterior,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
sabría,4125,v,v,4001_5000,to know; to understand,saber,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
prohibido,4126,adj,adj,4001_5000,forbidden,prohibido,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
terminamos,4130,v,v,4001_5000,to finish; to end; to terminate; to be over; to conclude,terminar,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
saludos,4131,n,n,4001_5000,health,saludo,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
oliver,4133,none,residual,4001_5000,oliver,oliver,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
producido,4136,v,v,4001_5000,produced,producir,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
verse,4139,v,v,4001_5000,to see; to spot,verse,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
pudieras,4144,v,v,4001_5000,to be able to; can,pudieras,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
peligrosa,4146,adj,adj,4001_5000,perilous; dangerous,peligroso,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
risas,4156,n,n,4001_5000,laugh; laughter,risa,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
realiza,4158,v,v,4001_5000,to carry out,realizar,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
actuales,4159,adj,adj,4001_5000,present; current,actual,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
mm,4163,,residual,4001_5000,abbreviation of milímetro,mm,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
tomará,4165,v,v,4001_5000,to take,tomar,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
diera,4167,v,v,4001_5000,to give; to give out,dar,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
ó,4172,conj,conj,4001_5000,{{es-sup sp|o|2010|between numerals}},ó,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
chiste,4173,n,n,4001_5000,joke,chiste,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
diana,4175,,residual,4001_5000,bullseye,diana,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
europeos,4177,adj,adj,4001_5000,European,europeo,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
tontos,4181,adj,adj,4001_5000,stupid,tonto,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
adios,4182,interj,interj,4001_5000,Anglicization of adiós,adios,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
dada,4183,v,v,4001_5000,given; considering,dar,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
tendrías,4186,v,v,4001_5000,to have,tendrías,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
firmado,4187,adj,adj,4001_5000,signed,firmado,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
utilizado,4192,v,v,4001_5000,to use,utilizar,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
encontrará,4194,v,v,4001_5000,to meet,encontrar,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
cambiando,4197,v,v,4001_5000,to change; to shift; to switch; to alter,cambiar,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
lewis,4211,none,residual,4001_5000,lewis,lewis,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
penal,4216,adj,adj,4001_5000,penal,penal,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
entendí,4223,v,v,4001_5000,to understand; to fathom,entender,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
medicamentos,4225,n,n,4001_5000,medicine; medicament,medicamento,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
seguirá,4226,v,v,4001_5000,to follow,seguir,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
probado,4227,v,v,4001_5000,proven; tried,probar,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
albert,4228,none,residual,4001_5000,albert,albert,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
vestidos,4230,n,n,4001_5000,dressed,vestido,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
intentaré,4232,v,v,4001_5000,to try; to attempt,intentar,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
cuentan,4235,v,v,4001_5000,to count,contar,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
virginia,4241,,residual,4001_5000,Virginia,virginia,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
moverse,4244,v,v,4001_5000,move over,moverse,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
conocimientos,4249,n,n,4001_5000,knowledge,conocimiento,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
chef,4250,,residual,4001_5000,chef; head cook,chef,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
dispuesta,4251,adj,adj,4001_5000,willing; ready; game; down,dispuesto,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
s.,4252,none,residual,4001_5000,San; santo,s.,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
bolsas,4264,n,n,4001_5000,dickweed,bolsa,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
determinado,4266,adj,adj,4001_5000,determinate,determinado,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
cuéntame,4267,v,v,4001_5000,count; tally,cuéntame,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
divertida,4268,adj,adj,4001_5000,entertaining; amusing; funny,divertido,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
considerando,4269,v,v,4001_5000,recital,considerar,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
parker,4276,none,residual,4001_5000,parker,parker,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
joan,4277,none,residual,4001_5000,joan,joan,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
encerrado,4286,adj,adj,4001_5000,pent; shut-in; cooped up; locked up; locked down confined; holed up; shut away,encerrado,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
pasas,4290,v,v,4001_5000,raisin,pasar,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
sabiendo,4301,v,v,4001_5000,to know; to understand,saber,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
comando,4302,n,n,4001_5000,commando,comando,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
largos,4303,adj,adj,4001_5000,long,largo,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
asusta,4305,v,v,4001_5000,to scare; to frighten; to spook,asustar,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
dias,4307,n,n,4001_5000,Agencia de Inteligencia de la Defensa,dias,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
islas,4311,n,n,4001_5000,island,isla,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
muebles,4315,n,n,4001_5000,furniture,muebles,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
cantando,4318,v,v,4001_5000,to sing,cantar,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
querrá,4321,v,v,4001_5000,to desire; to want; to want to,querer,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
mete,4324,v,v,4001_5000,to put in; insert,meter,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
marta,4327,,residual,4001_5000,marten,marta,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
estuvieras,4331,v,v,4001_5000,to be,estuvieras,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
deseas,4335,v,v,4001_5000,desire; wish,desear,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
imagina,4341,v,v,4001_5000,to imagine,imaginar,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
inconsciente,4342,adj,adj,4001_5000,unconscious,inconsciente,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
eta,4344,,residual,4001_5000,eta,eta,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
informado,4346,adj,adj,4001_5000,informed; aware of,informado,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
tocando,4352,v,v,4001_5000,to touch,tocar,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
déjala,4359,v,v,4001_5000,rest,déjala,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
miller,4360,none,residual,4001_5000,miller,miller,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
prácticas,4364,n,n,4001_5000,practice,práctica,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
repito,4365,v,v,4001_5000,a bush; Rhaphithamnus spinosus,repetir,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
blancas,4367,adj,adj,4001_5000,minim; half note,blanco,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
pensarlo,4372,v,v,4001_5000,to think; ponder,pensarlo,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
forense,4377,n,n,4001_5000,forensic,forense,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
organismos,4384,n,n,4001_5000,organism; creature,organismo,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
inocentes,4390,adj,adj,4001_5000,innocent,inocente,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
criaturas,4393,n,n,4001_5000,creature (living being); critter,criatura,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
involucrado,4396,adj,adj,4001_5000,involved,involucrado,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
demostrado,4403,v,v,4001_5000,to show; to demonstrate,demostrar,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
cojones,4405,n,n,4001_5000,the fuck; the hell,cojón,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
armado,4407,adj,adj,4001_5000,armed,armado,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
conseguimos,4408,v,v,4001_5000,to achieve; succeed in; reach; accomplish; attain,conseguir,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
patatas,4409,n,n,4001_5000,potato,patata,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
tirado,4420,adj,adj,4001_5000,easy-peasy,tirado,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
planeado,4424,adj,adj,4001_5000,planned,planeado,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
emocional,4429,adj,adj,4001_5000,emotional,emocional,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
encontrarla,4436,v,v,4001_5000,to meet,encontrarla,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
volverás,4440,v,v,4001_5000,to return; to revert; to get back,volver,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
criterios,4441,n,n,4001_5000,criterion,criterio,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
morirá,4442,v,v,4001_5000,to die,morir,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
desaparece,4449,v,v,4001_5000,to disappear; to go missing; to vanish; to be gone,desaparecer,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
pusiste,4455,v,v,4001_5000,to put; to put up; to place; to lay,pusiste,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
diamantes,4457,n,n,4001_5000,diamonds,diamantes,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
gobiernos,4460,n,n,4001_5000,government,gobierno,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
directora,4464,n,n,4001_5000,female equivalent of director,directora,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
extrañas,4467,adj,adj,4001_5000,female equivalent of extraño,extraño,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
escenas,4470,n,n,4001_5000,scene,escena,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
etcétera,4475,n,n,4001_5000,et cetera; and so on,etcétera,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
as,4477,,residual,4001_5000,an ace,as,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
parezco,4478,v,v,4001_5000,to seem; to see fit,parecer,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
