lemma,rank,pos,band,translation,sentence,target_form,canonical_lemma,target_morph,target_index,support_ranks,avg_support_rank,max_support_rank,template_id,source_method,score,publishable,quality_tier,bad_candidate,failure_reason,search_attempts_used,candidates_found,best_source_method
de,1,prep,A1,of; from,,,de,,-1,,0.0,0,no_candidate_found,no_candidate_found,0.0,False,no_candidate_found,True,no_publishable_candidate,350,269,no_candidate_found
que,2,pron,A1,that,Hay que ir.,que,que,,1,39 52,45.5,52,pron_clause_que,template_generated,11.033314823391642,True,strong,False,,41,40,template_generated
la,3,pron,A1,the (fem.),Yo la veo.,la,la,,1,18 119,68.5,119,pron_object_see,template_generated,8.229370787471202,True,acceptable,False,,350,255,template_generated
no,4,,A1,no; not,No voy hoy.,no,no,Polarity=Neg,0,52 187,119.5,187,adv_negation_go,template_generated,8.29925199076537,True,acceptable,False,,350,349,template_generated
a,5,none,A1,to; at,Voy a casa.,a,a,,1,52 91,71.5,91,prep_to_home,template_generated,8.750489064309708,True,acceptable,False,,350,254,template_generated
el,6,art,A1,the (masc.),El amigo está bien.,el,el,Definite=Def|Gender=Masc|Number=Sing|PronType=Art,0,210 26 31,89,210,det_anchor_clear,template_generated,10.64545475886879,True,strong,False,,41,8,template_generated
y,7,conj,A1,and,Ella va y él va.,y,y,,2,11 52 11 52,31.5,52,conj_and_clauses,template_generated,8.678383748643567,True,acceptable,False,,350,253,template_generated
en,8,prep,A1,in; at; on,Ella está en casa.,en,en,,2,11 26 91,42.666666666666664,91,prep_in_home,template_generated,9.50272063549803,True,acceptable,False,,350,264,template_generated
es,9,v,A1,is (ser),Ella es buena.,es,ser,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,1,11 55,33,55,seeded_special_ser_adj,seeded_template,8.017620616764356,True,acceptable,False,,350,368,seeded_template
un,10,num,A1,a; an; one,Tengo un libro.,un,uno,,1,59 535,297,535,num_indefinite_object,template_generated,10.131933851933612,True,strong,False,,41,40,template_generated
lo,11,pron,A1,it; the (neuter),No quiero saber lo que hiciste.,lo,él,Case=Acc|Gender=Masc|Number=Sing|Person=3,3,4 76 63 2 71,43.2,76,retrieved,retrieved_corpus,15.218714544346783,True,strong,False,,1,1,retrieved_corpus
por,12,prep,A1,by,Es por eso.,por,por,,1,9 33,21,33,prep_because_of_that,template_generated,8.368359423335852,True,acceptable,False,,350,349,template_generated
los,13,art,A1,the (masc. pl.),Los amigos están bien.,los,el,Definite=Def|Gender=Masc|Number=Plur|PronType=Art,0,210 26 31,89,210,det_anchor_clear,template_generated,10.127755852992722,True,strong,False,,41,10,template_generated
una,14,determiner,A1,a; an; one (fem.),Una casa está bien.,una,uno,Gender=Fem|Number=Sing,0,91 26 31,49.333333333333336,91,det_anchor_clear,template_generated,9.463510675613815,True,acceptable,False,,350,286,template_generated
se,15,pron,A1,oneself; himself; herself; itself; themselves,Ella se va.,se,se,Gender=Masc|Number=Sing,1,11 52,31.5,52,pron_clitic_leave,template_generated,8.657449783720768,True,acceptable,False,,350,349,template_generated
con,16,prep,A1,with,Ella quiere salir con él.,con,con,,3,11 76 286 11,96,286,retrieved,retrieved_corpus,12.977834453444611,True,strong,False,,1,1,retrieved_corpus
qué,17,pron,A1,what,¿de qué hablaste?,qué,qué,Number=Sing,2,1 173,87,173,retrieved,retrieved_corpus,11.502540317074313,True,strong,False,,1,3,retrieved_corpus
me,18,pron,A1,me; myself,Ella me llama.,me,yo,,1,11 451,231,451,pron_clitic_call,template_generated,8.382977151835844,True,acceptable,False,,350,349,template_generated
para,19,prep,A1,for; to,No quiero a nadie para este trabajo.,para,para,,4,4 76 5 160 44 144,72.16666666666667,160,retrieved,retrieved_corpus,10.977516700415595,True,strong,False,,1,1,retrieved_corpus
las,20,pron,A1,the (fem. pl.),,,las,,-1,,0.0,0,no_candidate_found,no_candidate_found,0.0,False,no_candidate_found,True,no_publishable_candidate,350,254,no_candidate_found
del,21,contraction,A1,of the; from the,,,del,,-1,,0.0,0,no_candidate_found,no_candidate_found,0.0,False,no_candidate_found,True,no_publishable_candidate,350,77,no_candidate_found
te,22,pron,A1,you; yourself,¿quieres que te diga por qué?,te,tú,,3,76 2 109 12 17,43.2,109,retrieved,retrieved_corpus,13.006683375553132,True,strong,False,,1,1,retrieved_corpus
su,23,determiner,A1,his; her; its; their; your (formal),Me gusta su forma de ser.,su,su,Number=Sing,2,18 229 228 1 9,97,229,retrieved,retrieved_corpus,13.63697639461043,True,strong,False,,1,1,retrieved_corpus
pero,24,conj,A1,but,Quiero ir pero no puedo.,pero,pero,,2,76 52 4 75,51.75,76,conj_but_cant,template_generated,8.937328782447278,True,acceptable,False,,350,261,template_generated
si,25,conj,A1,if; whether,No sé si quiero hacer esto.,si,si,PronType=Rel,2,4 63 76 71 42,51.2,76,retrieved,retrieved_corpus,13.57254858269452,True,strong,False,,1,1,retrieved_corpus
está,26,v,A1,is (estar),Ella está en casa.,está,estar,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,1,11 8 91,36.666666666666664,91,seeded_special_estar_place,seeded_template,8.702720635498029,True,acceptable,False,,350,368,seeded_template
mi,27,determiner,A1,my,Mi casa está bien.,mi,mi,Number=Sing,0,91 26 31,49.333333333333336,91,det_anchor_clear,template_generated,10.027951241365615,True,strong,False,,41,35,template_generated
